Name,URL,Description
"Kolhapuri Chappals	",https://im.hunt.in/cg/mah/Kolhapur/City-Guide//Shopping_Kolhapuri_Chappal.jpg,XYZ
"Kolhapuri Saaj and Other Jewelry Items	",https://im.hunt.in/cg/mah/Kolhapur/City-Guide//Jewelry_Kolhapur.jpg,XYZ
Kolhapuri Jaggery (Gudd),https://im.hunt.in/cg/mah/Kolhapur/City-Guide//Kolhapur_Jaggery.jpg,XYZ
"Kakvi",https://th.bing.com/th/id/OIP.BYQqm35S3mHVYFH-7fAiBgHaGi?w=206&h=182&c=7&r=0&o=5&dpr=1.3&pid=1.7,XYZ
Kolhapuri Masala,https://im.hunt.in/cg/mah/Kolhapur/City-Guide//KolhapuriMasala.jpg,XYZ
